npb_name,origin_country_ja,origin_country_en,likely_origin_league,npb_first_year,first_team,player_type,position,english_name,mlb_id,npb_first_year_PA,npb_first_year_AVG,npb_first_year_OPS,npb_first_year_wOBA,npb_first_year_ERA,npb_first_year_IP,npb_first_year_WHIP
デュプランティエ,,,Unknown,2025,阪神,pitcher,,,,,,,,1.39,90.2,0.81
デラバー,,,Unknown,2016,,pitcher,,,,,,,,0.0,2.0,0.0
デラロサ,,,Unknown,2019,巨人,pitcher,,,,,,,,2.25,24.0,0.88
デービス,,,Unknown,2025,西武,hitter,,,,131,0.204,0.623,0.2991,,,
トンキン,,,Unknown,2018,日本ハム,pitcher,,,,,,,,3.71,51.0,1.33
トーマス,アメリカ,USA,MLB,2024,オリックス,hitter,外野手,,,18,0.0,0.0,,,,
ドミンゲス,,,Unknown,2018,ロッテ,hitter,,,,93,0.19,0.757,0.3347,,,
ドリス,,,Unknown,2016,阪神,pitcher,,,,,,,,2.12,34.0,1.03
ドレイク,,,Unknown,2017,,hitter,,,,86,0.232,0.56,0.2568,,,
ナニータ,,,Unknown,2015,,hitter,,,,169,0.308,0.736,0.3401,,,
ナバーロ,,,Unknown,2016,阪神,hitter,,,,340,0.217,0.679,0.3201,,,
ニックス,,,Unknown,2023,オリックス,pitcher,,,,,,,,10.5,6.0,2.17
ニール,,,Unknown,2019,西武,pitcher,,,,,,,,2.87,100.1,1.18
ヌニエス,,,Unknown,2022,日本ハム,hitter,,,,180,0.174,0.527,0.2424,,,
ネイラー,,,Unknown,2015,,pitcher,,,,,,,,3.81,52.0,1.29
ネバラスカス,,,Unknown,2021,広島,pitcher,,,,,,,,10.13,2.2,3.00
ネビン,,,Unknown,2025,西武,hitter,,,,570,0.277,0.794,0.3629,,,
ネルソン,,,Unknown,2025,阪神,pitcher,,,,,,,,1.93,32.2,1.16
ノイジー,アメリカ,USA,MLB,2023,阪神,hitter,外野手,,,516,0.24,0.623,0.2887,,,
ノリン,,,Unknown,2020,西武,pitcher,,,,,,,,6.75,21.1,1.50
ハイネマン,,,Unknown,2021,巨人,hitter,,,,28,0.16,0.45,0.2220,,,
ハッチ,アメリカ,USA,MLB,2024,広島,pitcher,投手,,,,,,,7.36,22.0,1.73
ハフ,,,Unknown,2018,ヤクルト,pitcher,,,,,,,,4.87,94.1,1.40
ハフマン,,,Unknown,2015,,hitter,,,,13,0.091,0.322,0.1820,,,
ハワード,,,Unknown,2025,楽天,pitcher,,,,,,,,2.22,48.2,1.09
ハンコック,,,Unknown,2019,日本ハム,pitcher,,,,,,,,9.00,7.0,1.86
ハンソン,,,Unknown,2023,日本ハム,hitter,,,,96,0.144,0.499,0.2266,,,
ハートウィグ,,,Unknown,2025,阪神,pitcher,,,,,,,,3.65,12.1,1.3
ハーマン,,,Unknown,2017,楽天,pitcher,,,,,,,,2.72,53.0,1.15
ハーミッダ,,,Unknown,2015,,hitter,,,,192,0.211,0.607,0.2938,,,
ハーン,アメリカ,USA,MLB,2024,広島,pitcher,投手,,,,,,,1.29,35.0,0.71
バウアー,,,Unknown,2023,DeNA,pitcher,,,,,,,,2.76,130.2,1.15
バウマン,,,Unknown,2025,ヤクルト,pitcher,,,,,,,,4.2,15.0,1.93
バスケス,,,Unknown,2015,,pitcher,,,,,,,,3.63,34.2,1.76
バティスタ,,,Unknown,2017,広島,hitter,,,,143,0.256,0.896,0.3921,,,
バニュエロス,,,Unknown,2023,楽天,pitcher,,,,,,,,81.0,0.2,9.0
バリオス,,,Unknown,2015,DeNA,pitcher,,,,,,,,3.18,34.0,1.56
バリントン,,,Unknown,2015,,pitcher,,,,,,,,3.30,73.2,1.14
バルガス,,,Unknown,2019,ロッテ,pitcher,,,,,,,,,,
バルディリス,,,Unknown,2015,,hitter,,,,525,0.258,0.725,0.3365,,,
バルデス,,,Unknown,2015,,pitcher,,,,,,,,3.18,133.0,1.25
バルドナード,パナマ,Panama,MLB,2023,巨人,pitcher,投手,,,,,,,1.69,21.1,1.17
バレラ,,,Unknown,2022,オリックス,hitter,,,,127,0.205,0.57,0.2713,,,
バレンティン,,,Unknown,2015,ヤクルト,hitter,,,,52,0.186,0.629,0.3071,,,
バンデンハーク,,,Unknown,2015,ソフトバンク,pitcher,,,,,,,,2.52,93.0,0.98
バンヘッケン,,,Unknown,2016,,pitcher,,,,,,,,6.31,45.2,1.86
バース,,,Unknown,2016,,pitcher,,,,,,,,3.65,103.2,1.44
バード,,,Unknown,2021,広島,pitcher,,,,,,,,4.57,21.2,1.57
バーネット,,,Unknown,2015,,pitcher,,,,,,,,1.29,62.2,0.89
バーヘイゲン,アメリカ,USA,MLB,2020,日本ハム,pitcher,投手,,,,,,,3.22,111.2,1.07
バーベイト,,,Unknown,2019,日本ハム,pitcher,,,,,,,,5.63,32.0,1.75
パットン,,,Unknown,2017,DeNA,pitcher,,,,,,,,2.70,60.0,1.15
パラデス,,,Unknown,2017,,hitter,,,,289,0.219,0.634,0.2872,,,
パーラ,,,Unknown,2020,巨人,hitter,,,,154,0.267,0.689,0.3127,,,
ヒギンス,,,Unknown,2020,オリックス,pitcher,,,,,,,,2.40,41.1,1.38
ヒース,,,Unknown,2015,西武,pitcher,,,,,,,,2.36,49.2,1.25
ビエイラ,,,Unknown,2020,巨人,pitcher,,,,,,,,3.28,24.2,1.78
ビシエド,キューバ,Cuba,Cuba,2016,中日,hitter,内野手,,,471,0.274,0.838,0.3805,,,
ビドル,,,Unknown,2022,オリックス,pitcher,,,,,,,,4.02,40.1,1.39
ビヤヌエバ,,,Unknown,2019,巨人,hitter,,,,235,0.223,0.711,0.3256,,,
ビロウ,,,Unknown,2015,,pitcher,,,,,,,,33.75,1.1,5.25
ビーズリー,アメリカ,USA,MLB,2023,阪神,pitcher,投手,,,,,,,2.2,41.0,1.17
ビーディ,,,Unknown,2023,巨人,pitcher,,,,,,,,3.99,49.2,1.45
ピレラ,,,Unknown,2020,広島,hitter,,,,337,0.266,0.723,0.3275,,,
ピーターズ,,,Unknown,2023,ヤクルト,pitcher,,,,,,,,3.22,100.2,1.19
ピープルズ,,,Unknown,2020,DeNA,pitcher,,,,,,,,4.97,38.0,1.39
ファイフ,,,Unknown,2017,,pitcher,,,,,,,,6.86,21.0,2.14
ファビアン,,,Unknown,2025,広島,hitter,,,,572,0.276,0.741,0.3382,,,
フェリス,ドミニカ共和国,Dominican Republic,MLB,2023,ロッテ,pitcher,投手,,,,,,,3.14,14.1,1.4
フェルナンド,,,Unknown,2015,楽天,hitter,,,,84,0.192,0.506,0.2411,,,
フォード,アメリカ,USA,MLB,2024,DeNA,hitter,内野手,,,22,0.2,0.623,0.2929,,,
フランコ,ドミニカ共和国,Dominican Republic,MLB,2023,楽天,hitter,内野手,,,334,0.221,0.644,0.2951,,,
フランシスコ,,,Unknown,2015,,hitter,,,,18,0.167,0.333,0.1536,,,
フランスア,,,Unknown,2018,広島,pitcher,,,,,,,,1.66,65.0,1.11
フルプ,,,Unknown,2025,巨人,hitter,,,,5,0.0,0.0,,,,
フローレス,,,Unknown,2020,ロッテ,pitcher,,,,,,,,7.66,22.1,1.93
ブキャナン,,,Unknown,2017,ヤクルト,pitcher,,,,,,,,3.66,159.2,1.34
ブセニッツ,,,Unknown,2019,楽天,pitcher,,,,,,,,1.94,51.0,1.29
ブラッシュ,,,Unknown,2019,楽天,hitter,,,,527,0.261,0.936,0.4154,,,
ブランコ,,,Unknown,2015,,hitter,,,,189,0.194,0.649,0.3033,,,
ブリガム,,,Unknown,2016,,pitcher,,,,,,,,5.24,34.1,1.6
ブリンソン,,,Unknown,2023,巨人,hitter,,,,294,0.248,0.694,0.3117,,,
ブルワー,,,Unknown,2023,阪神,pitcher,,,,,,,,2.38,11.1,1.06
ブレイシア,,,Unknown,2017,,pitcher,,,,,,,,3.00,30.0,1.33
ブロッソー,,,Unknown,2023,ロッテ,hitter,,,,147,0.191,0.504,0.2280,,,
ブロードウェイ,,,Unknown,2016,,pitcher,,,,,,,,4.5,6.0,1.5
ヘイグ,,,Unknown,2016,,hitter,,,,124,0.231,0.685,0.3228,,,
ヘルウェグ,,,Unknown,2018,広島,pitcher,,,,,,,,1.13,8.0,1.13
ヘルナンデス,ベネズエラ,Venezuela,MLB,2023,ソフトバンク,hitter,投手,,,,,,,,,
ヘルマン,,,Unknown,2015,,hitter,,,,245,0.267,0.665,0.3144,,,
ヘルメン,,,Unknown,2017,,pitcher,,,,,,,,2.68,47.0,1.45
ヘーゲンズ,,,Unknown,2016,,pitcher,,,,,,,,2.92,83.1,1.25
ペイトン,,,Unknown,2023,西武,hitter,,,,225,0.215,0.593,0.2730,,,
ペゲーロ,,,Unknown,2016,ロッテ,hitter,,,,200,0.279,0.832,0.3769,,,
ペトリック,,,Unknown,2016,,pitcher,,,,,,,,5.51,47.1,1.27
ペルドモ,ドミニカ共和国,Dominican Republic,MLB,2023,ロッテ,pitcher,投手,,,,,,,2.13,50.2,1.26
