english_name,npb_name,origin_league,season,PA,AVG,OBP,SLG,OPS,wOBA,HR,IP,ERA,FIP,K_pct,BB_pct,WHIP
Austin Voth,ボス,MLB,2024,,,,,,,,61.0,3.69,4.12,24.6,7.3,1.05
Jason Vosler,ボスラー,AAA,2024,30,0.179,0.233,0.286,0.519,0.229,0,,,,,,
Mike Bolsinger,ボルシンガー,MLB,2017,,,,,,,,41.1,6.31,6.28,19.9,13.8,1.81
Justin Bour,ボーア,MLB,2019,170,0.172,0.259,0.364,0.623,0.267,8,,,,,,
Gregory Polanco,ポランコ,MLB,2021,382,0.208,0.283,0.354,0.637,0.275,11,,,,,,
Aaron Poreda,ポレダ,AAA,2014,,,,,,,,21.1,5.91,3.51,21.6,7.2,1.73
Cody Ponce,ポンセ,MLB,2021,,,,,,,,38.1,7.04,4.94,20.1,6.1,1.75
Felipe Paulino,ポーリーノ,MLB,2014,,,,,,,,18.1,11.29,7.99,13.6,11.7,2.56
Miles Mikolas,マイコラス,MLB,2014,,,,,,,,57.1,6.44,4.77,14.9,7.1,1.43
David MacKinnon,マキノン,MLB,2022,57,0.140,0.228,0.140,0.368,0.181,0,,,,,,
Casey McGehee,マギー,MLB,2016,96,0.228,0.260,0.239,0.500,0.225,0,,,,,,
Ryan McBroom,マクブルーム,MLB,2020,85,0.247,0.282,0.506,0.789,0.330,6,,,,,,
Andrés Machado,マチャド,MLB,2023,,,,,,,,50.0,5.22,5.50,20.8,6.3,1.32
Marcos Mateo,マテオ,MLB,2015,,,,,,,,27.0,4.00,4.43,29.2,8.0,1.15
Kyle Muller,マラー,MLB,2024,,,,,,,,49.1,4.01,3.96,17.8,5.0,1.18
Jefry Marte,マルテ,MLB,2018,209,0.216,0.273,0.371,0.644,0.281,7,,,,,,
José Marmolejos,マルモレホス,MLB,2021,122,0.160,0.262,0.311,0.574,0.256,4,,,,,,
Patrick Murphy,マーフィー,MLB,2021,,,,,,,,28.0,5.14,3.99,22.7,7.8,1.46
Ariel Miranda,ミランダ,MLB,2017,,,,,,,,160.0,5.12,5.73,20.2,9.3,1.27
Matt Moore,ムーア,MLB,2019,,,,,,,,10.0,0.00,1.71,27.3,3.0,0.40
Conner Menez,メネズ,MLB,2021,,,,,,,,14.0,3.86,3.53,24.2,4.8,1.36
Luis Mendoza,メンドーサ,MLB,2013,,,,,,,,94.0,5.36,4.75,12.9,10.3,1.59
Guillermo Moscoso,モスコーソ,MLB,2013,,,,,,,,30.0,5.10,5.55,24.2,16.4,1.37
Steven Moya,モヤ,MLB,2016,100,0.255,0.290,0.500,0.790,0.331,5,,,,,,
Diego Moreno,モレノ,MLB,2015,,,,,,,,10.1,5.23,4.29,17.8,6.7,1.16
Brent Morel,モレル,MLB,2014,41,0.179,0.220,0.231,0.450,0.193,0,,,,,,
Coco Montes,モンテス,AAA,2023,41,0.184,0.244,0.316,0.560,0.247,1,,,,,,
Elehuris Montero,モンテロ,MLB,2024,247,0.205,0.267,0.304,0.571,0.254,4,,,,,,
Miguel Yajure,ヤフーレ,MLB,2022,,,,,,,,24.1,8.88,5.62,13.4,13.4,1.93
Taylor Jungmann,ヤングマン,MLB,2016,,,,,,,,26.2,7.76,6.00,14.3,13.5,1.76
Rangel Ravelo,ラベロ,MLB,2020,41,0.171,0.244,0.286,0.530,0.233,1,,,,,,
Peter Lambert,ランバート,MLB,2024,,,,,,,,61.1,5.72,4.54,17.9,10.4,1.66
Radhames Liz,リズ,MLB,2015,,,,,,,,23.1,4.24,4.98,25.5,11.3,1.63
Hector Luna,ルナ,MLB,2012,66,0.226,0.273,0.355,0.628,0.276,2,,,,,,
Wade LeBlanc,ルブラン,MLB,2014,,,,,,,,29.2,3.94,3.50,17.4,5.8,1.15
Josh Lueke,ルーキ,Independent,2014,,,,,,,,30.1,5.64,5.47,14.1,3.7,1.42
Brandon Laird,レアード,AAA,2013,76,0.169,0.224,0.423,0.646,0.281,5,,,,,,
Franmil Reyes,レイエス,MLB,2023,65,0.186,0.231,0.288,0.519,0.227,2,,,,,,
Matt Reynolds,レイノルズ,AAA,2022,272,0.246,0.320,0.332,0.652,0.293,3,,,,,,
Josh Ravin,レイビン,MLB,2017,,,,,,,,16.2,6.48,5.80,26.8,12.7,1.26
Jason Rogers,ロジャース,MLB,2016,33,0.080,0.303,0.160,0.463,0.243,0,,,,,,
Joely Rodríguez,ロドリゲス,AAA,2017,,,,,,,,27.0,6.33,5.86,13.4,11.2,1.93
Jose Lopez,ロペス,MLB,2012,248,0.246,0.270,0.356,0.626,0.272,4,,,,,,
Stefen Romero,ロメロ,MLB,2014,190,0.192,0.234,0.299,0.533,0.239,3,,,,,,
Jorge Rondón,ロンドン,MLB,2015,,,,,,,,14.1,13.19,6.48,11.1,11.1,2.58
Casey Lawrence,ローレンス,MLB,2018,,,,,,,,23.1,7.33,4.62,13.2,9.4,1.63
Jacob Waguespack,ワゲスパック,MLB,2020,,,,,,,,17.2,8.15,4.72,17.8,10.0,2.04
DJ Johnson,ＤＪ．ジョンソン,MLB,2019,,,,,,,,25.0,5.04,4.45,20.7,16.4,1.68
Emmanuel Ramirez,Ｅ．ラミレス,MLB,2024,,,,,,,,20.2,6.97,4.62,22.8,8.7,1.40
Kyle Keller,Ｋ．ケラー,MLB,2021,,,,,,,,33.1,6.48,6.95,23.2,14.2,1.56
Ronny Rodriguez,Ｒ．ロドリゲス,MLB,2019,294,0.221,0.252,0.438,0.690,0.283,14,,,,,,
