player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
倉本 寿彦,102,265,245,11,51,4,0,2,61,20,0,0,7,1,10,0,2,60,8,0.208,0.249,0.244,DeNA,2015
黒羽根 利規,63,149,129,8,23,3,0,1,29,7,0,1,7,2,11,0,0,32,2,0.178,0.225,0.239,DeNA,2015
桑原 将志,60,116,103,14,19,4,1,1,28,5,1,1,8,0,5,0,0,26,1,0.184,0.272,0.222,DeNA,2015
小杉 陽太,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,DeNA,2015
後藤 武敏 Ｇ．,70,76,68,4,14,4,0,4,30,11,0,0,0,0,8,1,0,17,2,0.206,0.441,0.289,DeNA,2015
下園 辰哉,53,84,74,8,21,4,0,1,28,8,0,0,2,0,8,0,0,14,2,0.284,0.378,0.354,DeNA,2015
白崎 浩之,81,238,204,25,46,9,1,6,75,9,2,4,22,0,11,0,1,45,1,0.225,0.368,0.269,DeNA,2015
須田 幸太,29,11,7,0,1,0,0,0,1,0,0,0,3,0,1,0,0,3,0,0.143,0.143,0.25,DeNA,2015
砂田 毅樹,14,24,22,0,2,0,0,0,2,2,0,0,2,0,0,0,0,13,0,0.091,0.091,0.091,DeNA,2015
関根 大気,55,159,144,14,32,2,5,1,47,10,8,3,6,1,8,0,0,22,1,0.222,0.326,0.261,DeNA,2015
高崎 健太郎,7,10,8,0,2,0,0,0,2,0,0,0,1,0,1,0,0,3,0,0.25,0.25,0.333,DeNA,2015
高城 俊人,64,148,129,9,26,7,0,1,36,9,0,0,7,0,8,0,4,32,6,0.202,0.279,0.27,DeNA,2015
高橋 尚成,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,DeNA,2015
多村 仁志,4,8,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.143,0.143,0.25,DeNA,2015
筒香 嘉智,138,568,496,79,157,28,1,24,259,93,0,0,0,2,68,0,2,98,5,0.317,0.522,0.4,DeNA,2015
バルディリス,139,525,465,38,120,23,0,13,182,56,0,0,0,5,43,2,12,62,12,0.258,0.391,0.333,DeNA,2015
飛雄馬,59,135,116,14,26,9,1,1,40,9,1,0,15,0,3,0,1,23,2,0.224,0.345,0.25,DeNA,2015
平田 真吾,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015
松本 啓二朗,51,85,73,10,20,5,0,1,28,7,0,1,3,2,7,0,0,19,2,0.274,0.384,0.329,DeNA,2015
三浦 大輔,17,31,28,0,4,1,0,0,5,0,0,0,3,0,0,0,0,7,0,0.143,0.179,0.143,DeNA,2015
三嶋 一輝,20,30,25,1,3,0,0,0,3,0,0,0,5,0,0,0,0,10,0,0.12,0.12,0.12,DeNA,2015
嶺井 博希,74,208,186,18,44,8,1,5,69,26,0,0,3,2,12,0,5,46,2,0.237,0.371,0.298,DeNA,2015
宮崎 敏郎,58,163,152,13,44,8,0,1,55,10,0,0,0,1,6,0,4,21,5,0.289,0.362,0.331,DeNA,2015
モスコーソ,15,15,13,0,3,0,0,0,3,1,0,0,2,0,0,0,0,6,0,0.231,0.231,0.231,DeNA,2015
柳田 殖生,24,49,43,1,9,2,0,0,11,5,0,0,3,0,1,0,2,11,2,0.209,0.256,0.261,DeNA,2015
山口 俊,20,33,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,1,0.0,0.0,0.0,DeNA,2015
山崎 憲晴,25,34,29,4,3,1,0,0,4,2,2,0,2,0,3,0,0,12,0,0.103,0.138,0.188,DeNA,2015
山下 幸輝,23,43,42,2,10,2,0,0,12,2,0,1,1,0,0,0,0,12,0,0.238,0.286,0.238,DeNA,2015
ロペス,140,565,516,63,150,29,1,25,256,73,1,1,0,3,44,3,2,82,14,0.291,0.496,0.347,DeNA,2015
アンダーソン,83,260,234,20,59,14,0,7,94,31,1,1,0,0,21,1,5,37,5,0.252,0.402,0.327,巨人,2015
相川 亮二,40,114,99,11,31,3,2,4,50,17,1,0,2,1,12,0,0,16,1,0.313,0.505,0.384,巨人,2015
阿部 慎之助,111,419,343,44,83,14,0,15,142,47,0,0,0,4,64,1,8,84,9,0.242,0.414,0.37,巨人,2015
