player,team,AVG,G,PA,AB,H,HR,RBI,SB,BB,HBP,SO,SH,GDP,OBP,SLG,OPS,RC27,XR27,year
清田　育宏,ロッテ,0.317,130,548,489,155,15,67,10,54,3,93,0,11,0.387,0.503,0.89,7.10,6.76,2015
クルーズ,ロッテ,0.255,133,532,501,128,16,73,0,24,2,66,0,7,0.289,0.401,0.691,4.05,4.11,2015
森　友哉,西武,0.287,138,531,474,136,17,68,0,44,9,143,0,5,0.357,0.468,0.825,6.01,5.86,2015
今宮　健太,ソフトバンク,0.228,142,530,457,104,7,45,3,34,0,83,35,13,0.279,0.326,0.605,2.63,2.71,2015
バルディリス,DeNA,0.258,139,525,465,120,13,56,0,43,12,62,0,12,0.333,0.391,0.725,4.56,4.60,2015
メヒア,西武,0.235,135,525,473,111,27,89,0,45,5,153,0,14,0.307,0.471,0.778,4.69,4.74,2015
西川　遥輝,日本ハム,0.276,125,521,442,122,5,35,30,60,4,98,15,1,0.368,0.391,0.759,5.70,5.50,2015
近藤　健介,日本ハム,0.326,129,504,435,142,8,60,6,59,2,59,3,9,0.405,0.467,0.872,7.20,6.89,2015
中村　悠平,ヤクルト,0.231,136,502,442,102,2,33,3,40,4,80,14,9,0.299,0.276,0.575,2.70,2.76,2015
松井　稼頭央,楽天,0.256,126,501,445,114,10,48,14,43,3,82,7,7,0.324,0.366,0.69,4.34,4.34,2015
ペーニャ,楽天,0.268,125,492,406,109,17,40,1,70,16,111,0,5,0.396,0.448,0.845,6.68,6.59,2015
角中　勝也,ロッテ,0.293,111,484,427,125,6,52,8,47,1,52,7,12,0.363,0.405,0.768,5.17,5.01,2015
中島　裕之,オリックス,0.24,117,483,417,100,10,46,1,53,12,93,0,10,0.342,0.357,0.699,4.28,4.30,2015
新井　貴浩,広島,0.275,125,480,426,117,7,57,3,48,2,73,0,15,0.348,0.385,0.733,4.66,4.61,2015
長野　久義,巨人,0.251,130,479,434,109,15,52,3,34,4,81,5,12,0.31,0.415,0.725,4.20,4.22,2015
上本　博紀,阪神,0.253,108,452,375,95,4,31,19,44,4,69,29,1,0.338,0.339,0.677,4.02,3.95,2015
藤田　一也,楽天,0.27,111,451,392,106,5,43,8,28,8,30,16,3,0.326,0.349,0.676,4.21,4.29,2015
後藤　光尊,楽天,0.237,117,444,413,98,9,42,13,12,5,48,10,8,0.265,0.346,0.611,2.80,2.91,2015
炭谷　銀仁朗,西武,0.211,133,443,399,84,4,35,0,16,4,87,22,7,0.247,0.281,0.528,1.96,2.03,2015
亀井　善行,巨人,0.272,109,432,382,104,6,35,8,40,1,59,3,6,0.338,0.374,0.712,4.75,4.77,2015
阿部　慎之助,巨人,0.242,111,419,343,83,15,47,0,64,8,84,0,9,0.37,0.414,0.784,5.51,5.65,2015
Ｔ−岡田,オリックス,0.28,105,416,389,109,11,51,2,17,6,80,0,9,0.317,0.424,0.741,4.69,4.66,2015
嶋　基宏,楽天,0.219,117,411,338,74,4,18,6,60,1,69,11,11,0.338,0.287,0.624,3.30,3.37,2015
片岡　治大,巨人,0.244,113,411,348,85,10,36,21,25,2,36,36,7,0.299,0.374,0.672,3.45,3.45,2015
デスパイネ,ロッテ,0.258,103,409,353,91,18,62,0,49,4,89,0,9,0.352,0.462,0.814,5.60,5.63,2015
今江　敏晃,ロッテ,0.287,98,400,373,107,1,38,2,16,9,35,0,17,0.33,0.365,0.695,3.81,3.66,2015
明石　健志,ソフトバンク,0.263,115,394,342,90,3,30,11,31,5,64,12,4,0.33,0.342,0.672,4.05,4.08,2015
駿太,オリックス,0.234,135,382,334,78,2,31,8,24,6,69,15,4,0.294,0.287,0.582,2.61,2.74,2015
陽　岱鋼,日本ハム,0.259,86,381,352,91,7,36,14,21,4,93,2,4,0.306,0.358,0.664,4.05,4.06,2015
亀澤　恭平,中日,0.269,107,376,331,89,0,12,9,15,2,44,27,3,0.304,0.299,0.603,2.90,2.88,2015
石川　雄洋,DeNA,0.259,89,375,343,89,1,18,6,16,7,82,9,2,0.306,0.297,0.603,3.25,3.19,2015
村田　修一,巨人,0.236,103,370,330,78,12,39,1,28,8,65,2,12,0.31,0.373,0.683,3.64,3.75,2015
立岡　宗一郎,巨人,0.304,91,367,339,103,0,14,16,18,4,61,3,2,0.343,0.348,0.691,4.66,4.57,2015
田村　龍弘,ロッテ,0.17,117,365,305,52,2,32,3,33,1,69,22,3,0.251,0.23,0.48,1.66,1.90,2015
銀次,楽天,0.301,82,354,316,95,1,36,8,30,1,19,3,5,0.359,0.348,0.707,4.84,4.78,2015
