player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year,wOBA,wRC+,wRAA
加藤 健,35,83,75,3,18,3,0,0,21,3,0,0,2,2,4,0,0,24,2,0.24,0.28,0.272,巨人,2015,0.2555640929669575,38.96594251913845,-5.037110170712866
亀井 善行,109,432,382,42,104,21,0,6,143,35,8,1,3,6,40,0,1,59,6,0.272,0.374,0.338,巨人,2015,0.3303536825744658,110.80024029239834,4.639255379058245
金城 龍彦,36,95,90,9,21,3,0,1,27,10,1,0,1,0,3,0,1,11,0,0.233,0.3,0.266,巨人,2015,0.2635512444211923,46.637483691307565,-5.040701972241584
小林 誠司,70,204,177,13,40,6,0,2,52,13,2,0,5,0,19,1,3,39,6,0.226,0.294,0.312,巨人,2015,0.29070827253373,72.721408664162,-5.53328732290862
小山 雄輝,7,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25,巨人,2015,0.23035670898690858,14.754621980939534,-0.33904859368004886
坂口 真規,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,巨人,2015,0.0,-206.49959955275526,-0.9142864452600366
坂本 勇人,130,558,479,50,129,21,3,12,192,68,10,4,9,5,65,1,0,79,5,0.269,0.401,0.353,巨人,2015,0.3498263583571682,129.5034581861941,16.369606427534837
實松 一成,22,39,33,5,6,0,0,1,9,3,1,0,2,0,2,0,2,9,0,0.182,0.273,0.27,巨人,2015,0.2637499419850108,46.82832977083631,-2.061940004596693
沢村 拓一,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2015,0.0,-206.49959955275526,-0.3047621484200122
菅野 智之,25,60,53,0,4,1,1,0,7,2,0,0,6,0,0,0,1,21,0,0.075,0.132,0.093,巨人,2015,0.1041258861329713,-106.488221637272,-12.319062238534066
杉内 俊哉,17,28,26,1,3,0,0,0,3,2,0,0,2,0,0,0,0,9,0,0.115,0.115,0.115,巨人,2015,0.10631848107088089,-104.38226653720383,-5.690263232683419
鈴木 尚広,65,22,17,22,5,1,0,1,9,4,10,1,2,0,2,0,1,4,0,0.294,0.529,0.4,巨人,2015,0.4245892977008701,201.3121587741231,2.216232734759731
セペダ,20,28,21,1,0,0,0,0,0,1,0,0,0,0,7,0,0,6,1,0.0,0.0,0.25,巨人,2015,0.18062060136473512,-33.01617585019912,-3.7033401557603423
高木 京介,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2015,0.0,-206.49959955275526,-0.6095242968400244
高木 勇人,26,48,42,1,4,1,0,0,5,0,0,0,6,0,0,0,0,21,2,0.095,0.119,0.095,巨人,2015,0.09747778486350785,-112.87362485613765,-10.160011695589157
高橋 由伸,77,158,133,11,37,5,0,5,57,21,2,0,0,1,20,0,4,39,3,0.278,0.429,0.386,巨人,2015,0.37966443779804354,158.16249341805536,9.137580549638075
田口 麗斗,13,19,16,0,2,0,0,0,2,2,0,0,3,0,0,0,0,8,1,0.125,0.125,0.125,巨人,2015,0.11517835449345429,-95.87248878590788,-3.700480819980232
立岡 宗一郎,91,367,339,36,103,9,3,0,118,14,16,6,3,3,18,0,4,61,2,0.304,0.348,0.343,巨人,2015,0.3212279432138871,102.03510222880938,0.74264867271265
