player,team,ERA,G,W,L,SV,HLD,WPCT,BF,IP,HA,HRA,BB,HBP,SO,R,ER,WHIP,DIPS,year
増田　達至,西武,3.04,72,2,4,3,40,0.333,302,74.0,64,1,15,4,62,26,25,1.07,2.31,2015
岡本　篤志,西武,3.05,23,1,0,0,5,1.0,89,20.2,25,2,2,2,8,9,7,1.31,4.18,2015
高橋　光成,西武,3.07,8,5,2,0,0,0.714,185,44.0,32,3,23,4,22,16,15,1.25,4.85,2015
小川　泰弘,ヤクルト,3.11,27,11,8,0,0,0.579,700,168.0,152,18,48,4,128,66,58,1.19,3.92,2015
クルーズ,楽天,3.12,52,1,3,1,20,0.25,218,49.0,40,2,29,4,42,19,17,1.41,3.90,2015
山本　哲哉,ヤクルト,3.12,17,0,0,0,2,0.0,72,17.1,20,1,2,1,11,6,6,1.27,3.12,2015
大瀬良　大地,広島,3.13,51,3,8,2,20,0.273,475,109.1,111,5,31,1,97,53,38,1.30,2.82,2015
武田　翔太,ソフトバンク,3.17,25,13,6,0,0,0.684,684,164.2,142,14,59,2,163,60,58,1.22,3.36,2015
大嶺　祐太,ロッテ,3.17,24,8,7,0,0,0.533,574,133.1,141,8,46,5,70,49,47,1.40,4.00,2015
バルデス,中日,3.18,22,5,8,0,0,0.385,560,133.0,130,6,36,2,93,56,47,1.25,3.17,2015
谷元　圭介,日本ハム,3.18,61,4,2,0,20,0.667,241,56.2,54,0,15,2,47,21,20,1.22,2.31,2015
バリオス,ソフトバンク,3.18,30,0,2,1,20,0.0,152,34.0,37,1,16,3,34,15,12,1.56,3.00,2015
高木　勇人,巨人,3.19,26,9,10,0,0,0.474,678,163.2,143,16,47,8,131,66,58,1.16,3.78,2015
金子　千尋,オリックス,3.19,16,7,6,0,1,0.538,379,93.0,85,8,18,0,79,34,33,1.11,3.12,2015
マエストリ,オリックス,3.19,28,0,2,1,1,0.0,190,42.1,37,5,23,3,34,18,15,1.42,4.75,2015
浅尾　拓也,中日,3.19,36,1,1,3,16,0.5,142,31.0,31,3,17,1,34,11,11,1.55,3.73,2015
砂田　毅樹,DeNA,3.20,14,3,5,0,0,0.375,335,76.0,85,5,28,2,57,34,27,1.49,3.66,2015
大竹　寛,巨人,3.21,11,3,4,0,0,0.429,227,56.0,56,5,11,0,35,21,20,1.20,3.62,2015
岩田　稔,阪神,3.22,27,8,10,0,0,0.444,722,170.1,168,13,49,5,119,66,61,1.27,3.65,2015
攝津　正,ソフトバンク,3.22,20,10,7,0,0,0.588,566,134.0,130,14,45,4,92,61,48,1.31,4.20,2015
佐藤　達也,オリックス,3.22,59,2,7,13,13,0.222,249,58.2,50,3,23,2,77,23,21,1.24,2.39,2015
チェン・グァンユウ,ロッテ,3.23,14,5,4,0,0,0.556,259,61.1,61,4,23,2,47,24,22,1.37,3.66,2015
中田　賢一,ソフトバンク,3.24,24,9,7,0,0,0.563,657,155.1,134,17,61,9,130,60,56,1.26,4.22,2015
山中　浩史,ヤクルト,3.24,9,6,2,0,0,0.75,210,50.0,54,5,7,5,20,21,18,1.22,4.34,2015
乾　真大,日本ハム,3.24,6,0,0,0,0,0.0,39,8.1,6,1,6,0,10,3,3,1.44,4.44,2015
二保　旭,ソフトバンク,3.25,44,6,1,0,5,0.857,229,52.2,51,3,23,3,28,21,19,1.41,4.28,2015
石川　歩,ロッテ,3.27,27,12,12,0,0,0.5,751,178.2,191,15,34,5,126,68,65,1.26,3.46,2015
井納　翔一,DeNA,3.27,21,5,8,0,0,0.385,598,134.2,164,13,40,3,92,56,49,1.51,3.97,2015
白仁田　寛和,オリックス,3.29,43,2,2,0,2,0.5,221,52.0,52,1,23,0,27,20,19,1.44,3.60,2015
バリントン,オリックス,3.30,14,5,3,0,0,0.625,305,73.2,60,3,24,8,46,30,27,1.14,3.70,2015
塚原　頌平,オリックス,3.30,41,0,4,1,13,0.0,192,43.2,36,5,24,6,25,18,16,1.37,5.52,2015
石川　雅規,ヤクルト,3.31,25,13,9,0,0,0.591,598,146.2,150,16,28,3,90,59,54,1.21,3.92,2015
東明　大貴,オリックス,3.35,25,10,8,0,0,0.556,663,161.1,148,16,41,5,118,61,60,1.17,3.76,2015
又吉　克樹,中日,3.36,63,6,6,0,30,0.5,301,72.1,64,5,23,4,82,27,27,1.20,2.87,2015
平田　真吾,DeNA,3.38,28,0,2,0,4,0.0,140,32.0,29,2,14,1,27,12,12,1.34,3.65,2015
瀬川　隼郎,日本ハム,3.38,9,0,0,0,0,0.0,47,10.2,11,0,5,0,9,4,4,1.50,2.84,2015
玉置　隆,阪神,3.38,2,0,0,0,0,0.0,12,2.2,3,1,1,0,4,2,1,1.50,6.12,2015
